fish_group,housing_tank_number,testing_group_number,fish_number,date,results_c
control ,R8,1,1,20230125,40.0
control ,R8,1,2,20230125,40.5
control ,R8,1,3,20230125,40.5
control ,R8,1,4,20230125,41.0
control ,R8,1,5,20230125,41.0
control ,R8,2,1,20230125,39.0
control ,R8,2,2,20230125,40.5
control ,R8,2,3,20230125,40.5
control ,R8,2,4,20230125,41.0
control ,R8,2,5,20230125,41.5
control ,R9,1,1,20230125,40.5
control ,R9,1,2,20230125,40.5
control ,R9,1,3,20230125,40.5
control ,R9,1,4,20230125,41.0
control ,R9,1,5,20230125,41.0
control ,R9,2,1,20230125,38.5
control ,R9,2,2,20230125,39.0
control ,R9,2,3,20230125,39.0
control ,R9,2,4,20230125,41.0
control ,R9,2,5,20230125,41.0
control ,R8,1,1,20230125,39.0
control ,R8,1,2,20230125,40.0
control ,R8,1,3,20230125,40.5
control ,R8,1,4,20230125,40.5
control ,R8,1,5,20230125,41.0
control ,R8,2,1,20230125,40.0
control ,R8,2,2,20230125,41.0
control ,R8,2,3,20230125,41.0
control ,R8,2,4,20230125,41.0
control ,R8,2,5,20230125,41.5
control ,R8,1,1,20230126,38.5
control ,R8,1,2,20230126,39.0
control ,R8,1,3,20230126,39.5
control ,R8,1,4,20230126,39.5
control ,R8,1,5,20230126,40.5
control ,R8,1,6,20230126,40.5
control ,R8,1,7,20230126,41.0
control ,R8,1,8,20230126,41.0
control ,R8,1,9,20230126,41.0
control ,R8,2,1,20230126,38.5
control ,R8,2,2,20230126,40.0
control ,R8,2,3,20230126,40.5
control ,R8,2,4,20230126,40.5
control ,R8,2,5,20230126,40.5
control ,R8,2,6,20230126,41.0
control ,R8,2,7,20230126,41.0
control ,R8,2,8,20230126,41.0
control ,R8,2,9,20230126,41.0
recovery,R5,1,1,20230127,39.5
recovery,R5,1,2,20230127,41.0
recovery,R5,1,3,20230127,41.0
recovery,R5,1,4,20230127,41.0
recovery,R5,1,5,20230127,41.5
recovery,R5,1,6,20230127,41.5
recovery,R5,2,1,20230127,39.0
recovery,R5,2,2,20230127,40.0
recovery,R5,2,3,20230127,41.0
recovery,R5,2,4,20230127,41.0
recovery,R5,2,5,20230127,41.5
control ,R9,1,1,20230131,39.0
control ,R9,1,2,20230131,39.5
control ,R9,1,3,20230131,39.5
control ,R9,1,4,20230131,40.5
control ,R9,1,5,20230131,40.5
control ,R9,1,6,20230131,40.5
control ,R9,2,1,20230131,39.0
control ,R9,2,2,20230131,39.5
control ,R9,2,3,20230131,40.5
control ,R9,2,4,20230131,40.5
control ,R9,2,5,20230131,41.0
control ,R9,2,6,20230131,41.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
